source,target,flow,,,,,,
0,1,1,,,,,,
0,2,1,,,,,,
0,4,1,,,,,,
0,5,1,,,,,,
0,6,1,,,,,,
0,7,1,,,,,,
0,11,1,,,,,,
0,12,1,,,,,,
0,13,1,,,,,,
0,14,1,,,,,,
0,15,1,,,,,,
0,16,1,,,,,,
0,17,1,,,,,,
0,18,1,,,,,,
0,19,1,,,,,,
0,23,1,,,,,,
1,24,1,,,,,,
2,27,1,,,,,,
4,29,1,,,,,,
5,28,1,,,,,,
6,29,1,,,,,,
7,26,1,,,,,,
11,28,1,,,,,,
12,32,1,,,,,,
13,25,1,,,,,,
14,30,1,,,,,,
15,26,1,,,,,,
16,25,1,,,,,,
17,29,1,,,,,,
18,32,1,,,,,,
19,31,1,,,,,,
23,24,1,,,,,,
24,33,2,,,,,,
25,34,2,,,,,,
26,35,2,,,,,,
27,36,1,,,,,,
28,37,2,,,,,,
29,38,3,,,,,,
30,39,1,,,,,,
31,40,1,,,,,,
32,41,2,,,,,,
33,42,1,1,24,,,1,24
33,64,1,23,24,,,2,27
34,54,1,13,25,,,4,29
34,57,1,16,25,,,5,28
35,56,1,15,26,,,6,29
35,59,1,18,26,,,7,26
36,43,1,2,27,,,11,28
37,52,1,11,28,,,12,32
37,60,1,19,28,,,13,25
38,45,1,4,29,,,14,30
38,47,1,6,29,,,15,26
38,58,1,17,29,,,16,25
39,55,1,14,30,,,17,29
40,46,1,5,31,,,18,32
41,48,1,7,32,,,19,31
41,53,1,12,32,,,23,24
42,65,1,1,,,,,
43,65,1,2,,,,,
45,65,1,4,,,,,
46,65,1,5,,,,,
47,65,1,6,,,,,
48,65,1,7,,,,,
52,65,1,11,,,,,
53,65,1,12,,,,,
54,65,1,13,,,,,
55,65,1,14,,,,,
56,65,1,15,,,,,
57,65,1,16,,,,,
58,65,1,17,,,,,
59,65,1,18,,,,,
60,65,1,19,,,,,
64,65,1,23,,,,,
65,0,16,,,,,,